"document_link","dropdown_texts"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/32e29ab9bbef23b6c1256f3b004d2b3a?OpenDocument","Tornano (Mercato Saraceno)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3334369e9631f457c1256fa300600951?OpenDocument","Minozzo (Villa Minozzo), Minotium"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/33387f0671981bfdc1256f9a004273cd?OpenDocument","Bonneville"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3393c1bb94b00831c1256f3b004d2bd3?OpenDocument","Turris, Torre Maina (Maranello), Torre, S. Petrus in Insula"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/353872a1d9414526c1256fa2005a543e?OpenDocument","Irola (Villafranca in Lunigiana)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/35639446d19ca5a7c1256fac00403583?OpenDocument","Savello (Albano Laziale), Castel Savelli"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/35bd86244cefab7cc1256fa400490c95?OpenDocument","Pieve a Molli (Sovicille), Molli"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/36481383b65bfa30c1256f40003d1baa?OpenDocument","Trevi nell'Umbria, Trebium"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/368255287264b8cfc1257a70004d2d2e?OpenDocument","Chersum, Cherso"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/369f1a2488ddfe41c1256f40003cfedc?OpenDocument","Tivenia, Tivegna (Follo)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/36b9933e6afef1cdc1256fa40048d6de?OpenDocument","Ossola Inferiore"
