dropdown_value,dropdown_text,document_link
Arbarea,Arbarea,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/33f9cb228d3798c8c1256f9a004059ee?OpenDocument
Arbe,Arbe,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/7152bdd1ec254a27c1256f9a004059c5?OpenDocument
Arbi,Arbi,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/7152bdd1ec254a27c1256f9a004059c5?OpenDocument
Arbore,Arbore,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/33f9cb228d3798c8c1256f9a004059ee?OpenDocument
Arborea,Arborea,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/33f9cb228d3798c8c1256f9a004059ee?OpenDocument
Arce Pitilianae,Arce Pitilianae,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d8f35e5c2954d024c1256fac003ef488?OpenDocument
Arceto (Scandiano),Arceto (Scandiano),https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/19564a4cdf16e95cc1256f9a00405a87?OpenDocument
Arcetum,Arcetum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/19564a4cdf16e95cc1256f9a00405a87?OpenDocument
Arcis de Tintinano,Arcis de Tintinano,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/7dc9c0c006b136bcc1256fac003ef3d9?OpenDocument
Arco,Arco,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/98d2533c93088603c1256f9a00405ae8?OpenDocument
Arcola,Arcola,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0835892953a48441c1256f9a00405b2b?OpenDocument
Arcoveggio (Bologna),Arcoveggio (Bologna),https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/a329444ae81a2637c1256f9a00405b89?OpenDocument
Arcula,Arcula,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0835892953a48441c1256f9a00405b2b?OpenDocument
Ardea,Ardea,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ad2cdcdde1f55b77c1257083004b4dbb?OpenDocument
Aretium,Aretium,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/bde6f0edf7824ebcc1256f9a00405b9b?OpenDocument
Arezzo,Arezzo,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/bde6f0edf7824ebcc1256f9a00405b9b?OpenDocument
Argenta,Argenta,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d300f52c3a788d36c1256f9a00405c25?OpenDocument
Argentaria,Argentaria,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/24a0358d04657bbbc1256fa2005a518a?OpenDocument
Ariano di Puglia,Ariano di Puglia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3693f0f7d0216a3fc1256f9a00405c6e?OpenDocument
Ariano Irpino,Ariano Irpino,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3693f0f7d0216a3fc1256f9a00405c6e?OpenDocument
Ariasca,Ariasca,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0b596d003e4f9099c1256f9a004233a5?OpenDocument
Ariccia,Ariccia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d82e9c1fab9aef45c1256f9a00405c7b?OpenDocument
Ariminum,Ariminum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/576d118ef158c2d8c1256fac003eebb9?OpenDocument
